Region,Product,Units_Sold,Revenue,Month,Year,Category_x,Category_y,Cost_Per_Unit
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226
South,VetCare Plus,624,354544.02461088775,Jul,2023,Vaccine,Medicine,444
East,VetCare Plus,827,444719.2088822908,Jul,2023,Supplement,Medicine,444
South,PawShield,154,66838.08231341075,Jul,2023,Medicine,Medicine,349
East,MediPet,876,407028.8862738919,Aug,2023,Medicine,Supplement,312
West,PetGuard,615,192060.3758062049,Jun,2024,Vaccine,Supplement,226
North,FurWell,841,429454.5422402549,Feb,2024,Vaccine,Medicine,353
West,MediPet,514,199194.42066163485,Mar,2024,Supplement,Supplement,312
East,PetGuard,673,195431.3414808524,Apr,2023,Vaccine,Supplement,226
East,FurWell,751,378758.2332315947,Jan,2024,Vaccine,Medicine,353
East,FurryVax,324,70264.02122002325,Apr,2023,Supplement,Vaccine,183
West,FurryVax,955,202002.49711675005,Mar,2024,Supplement,Vaccine,183
Central,MediPet,814,301644.9818246628,Jul,2024,Supplement,Supplement,312
South,CanineCare,143,93117.53834817089,Feb,2023,Vaccine,Antibiotic,482
West,PetGuard,444,149355.15548930436,Aug,2024,Supplement,Supplement,226
North,PetGuard,748,205799.04389903604,Jun,2024,Medicine,Supplement,226
South,CanineCare,53,36995.90695402002,Mar,2024,Medicine,Antibiotic,482
East,FurWell,206,97411.42091711157,Mar,2024,Medicine,Medicine,353
West,VetCare Plus,164,81784.75156937631,May,2024,Vaccine,Medicine,444
Central,PetGuard,137,35648.302609536666,Feb,2024,Vaccine,Supplement,226
West,HealthyPaws,321,171632.06217045046,Apr,2024,Vaccine,Supplement,386
West,PawShield,498,206803.33862830352,Feb,2024,Vaccine,Medicine,349
East,VetCare Plus,652,326657.45859303314,Apr,2023,Medicine,Medicine,444
North,FurWell,119,54846.96244991977,Jun,2023,Medicine,Medicine,353
East,CanineCare,269,183316.67412587625,Aug,2023,Vaccine,Antibiotic,482
